ORIGIN_AIRPORT,ORIGIN_AIRPORT_NAME,ORIGIN_CITY,ORIGIN_STATE,ORIGIN_LAT,ORIGIN_LONG,total_departures,avg_dep_delay,avg_arr_delay,median_dep_delay,delay_rate,avg_taxi_out,unique_airlines,unique_destinations,delay_rate_pct,on_time_rate_pct,cancelled_flights
GPT,Gulfport-Biloxi International Airport,Gulfport-Biloxi,MS,30.41,-89.07,66,2.17,-2.32,-4.5,0.11,11.94,3,3,10.61,89.39,3
GRB,Green Bay-Austin Straubel International Airport,Green Bay,WI,44.49,-88.13,73,-0.16,-0.75,-5.0,0.15,14.41,4,4,15.07,84.93,1
GRI,Central Nebraska Regional Airport,Grand Island,NE,40.97,-98.31,17,17.88,18.94,-3.0,0.35,11.71,1,1,35.29,64.71,0
GRK,Killeen-Fort Hood Regional Airport,Killeen,TX,31.06,-97.83,72,2.86,2.56,-7.0,0.14,11.99,2,3,13.89,86.11,2
GRR,Gerald R. Ford International Airport,Grand Rapids,MI,42.88,-85.52,206,5.97,-0.59,-4.0,0.15,14.37,6,14,15.05,84.95,6
GSO,Piedmont Triad International Airport,Greensboro,NC,36.1,-79.94,110,7.1,3.2,-4.0,0.21,15.12,5,9,20.91,79.09,4
GSP,Greenville-Spartanburg International Airport,Greer,SC,34.9,-82.22,110,8.37,3.73,-2.0,0.15,12.33,4,9,15.45,84.55,5
GTF,Great Falls International Airport,Great Falls,MT,47.48,-111.37,32,-7.66,-9.0,-8.0,0.06,14.06,1,3,6.45,93.55,0
GTR,Golden Triangle Regional Airport,Columbus-Starkville-West Point,MS,33.45,-88.59,22,10.73,13.32,-4.0,0.14,15.05,1,1,13.64,86.36,1
GUC,Gunnison-Crested Butte Regional Airport,Gunnison,CO,38.53,-106.93,4,-2.75,-8.75,-11.0,0.0,12.5,3,2,0.0,100.0,0
GUM,Guam International Airport,Agana,GU,13.48,-144.8,2,15.0,-9.0,15.0,0.0,12.5,1,1,0.0,100.0,0
HDN,Yampa Valley Airport (Yampa Valley Regional),Hayden,CO,40.48,-107.22,11,0.36,3.64,-6.0,0.36,20.91,4,6,36.36,63.64,1
HIB,Range Regional Airport (Chisholm-Hibbing Airport),Hibbing,MN,47.39,-92.84,15,-3.8,-8.93,-9.0,0.07,12.13,1,2,6.67,93.33,0
HLN,Helena Regional Airport,Helena,MT,46.61,-111.98,30,6.5,9.1,-3.0,0.2,18.4,1,3,20.0,80.0,0
HNL,Honolulu International Airport,Honolulu,HI,21.32,-157.92,736,2.73,1.21,-3.0,0.1,15.41,7,27,10.08,89.92,2
HOB,Lea County Regional Airport,Hobbs,NM,32.69,-103.22,9,-6.22,-8.33,-10.0,0.11,12.44,1,1,11.11,88.89,0
HOU,William P. Hobby Airport,Houston,TX,29.65,-95.28,856,11.15,6.72,0.0,0.21,10.18,6,46,21.08,78.92,15
HPN,Westchester County Airport,White Plains,NY,41.07,-73.71,116,9.49,10.02,-2.0,0.27,16.32,3,9,26.72,73.28,2
HRL,Valley International Airport,Harlingen,TX,26.23,-97.65,43,0.6,-1.81,-5.0,0.05,9.63,2,3,4.65,95.35,0
HSV,Huntsville International Airport,Huntsville,AL,34.64,-86.77,71,4.75,1.25,-3.0,0.1,15.68,3,6,9.86,90.14,1
HYS,Hays Regional Airport,Hays,KS,38.84,-99.27,7,5.57,10.71,0.0,0.29,15.43,1,1,28.57,71.43,0
IAD,Washington Dulles International Airport,Chantilly,VA,38.94,-77.46,595,10.88,3.72,-1.0,0.19,17.28,10,47,19.43,80.57,9
IAG,Niagara Falls International Airport,Niagara Falls,NY,43.11,-78.95,5,5.8,0.2,-1.0,0.4,9.6,1,2,40.0,60.0,1
IAH,George Bush Intercontinental Airport,Houston,TX,29.98,-95.34,2474,11.01,7.33,-1.0,0.21,17.97,10,113,21.3,78.7,53
ICT,Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),Wichita,KS,37.65,-97.43,126,4.68,2.33,-3.0,0.14,13.74,7,10,14.29,85.71,3
IDA,Idaho Falls Regional Airport,Idaho Falls,ID,43.51,-112.07,36,-3.19,-2.58,-5.0,0.11,15.56,1,3,11.11,88.89,0
ILG,Wilmington Airport,Wilmington,DE,39.68,-75.61,3,0.33,13.33,-2.0,0.67,21.67,1,2,66.67,33.33,0
ILM,Wilmington International Airport,Wilmington,NC,34.27,-77.9,21,-5.9,-9.24,-6.0,0.1,13.81,3,3,9.52,90.48,0
IMT,Ford Airport,Iron Mountain/Kingsford,MI,45.82,-88.11,9,-11.22,-9.78,-10.0,0.11,21.11,1,2,11.11,88.89,0
IND,Indianapolis International Airport,Indianapolis,IN,39.72,-86.29,402,8.14,0.95,-2.0,0.17,13.6,9,27,16.75,83.25,5
INL,Falls International Airport,International Falls,MN,48.57,-93.4,13,20.62,16.92,-2.0,0.23,17.69,1,2,23.08,76.92,0
ISN,Sloulin Field International Airport,Williston,ND,48.18,-103.64,32,-6.97,-9.12,-9.0,0.09,21.06,2,3,9.38,90.62,0
ISP,Long Island MacArthur Airport,Islip,NY,40.8,-73.1,64,8.89,-1.57,0.0,0.14,10.05,1,5,14.29,85.71,0
ITO,Hilo International Airport,Hilo,HI,19.72,-155.05,108,-0.59,0.43,-5.0,0.08,8.39,2,3,8.33,91.67,0
JAC,Jackson Hole Airport,Jackson,WY,43.61,-110.74,57,7.91,1.96,-6.0,0.23,16.74,4,8,22.81,77.19,1
JAN,Jackson-Evers International Airport,Jackson,MS,32.31,-90.08,139,11.92,10.09,-3.0,0.19,14.93,3,4,18.71,81.29,3
JAX,Jacksonville International Airport,Jacksonville,FL,30.49,-81.69,306,7.78,2.55,-2.0,0.16,13.85,8,21,16.34,83.66,4
JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,40.64,-73.78,1557,11.41,2.73,-1.0,0.2,27.14,8,62,19.99,80.01,31
JLN,Joplin Regional Airport,Joplin,MO,37.15,-94.5,9,28.0,36.33,0.0,0.33,17.67,2,1,33.33,66.67,0
JMS,Jamestown Regional Airport,Jamestown,ND,46.93,-98.68,13,-3.62,-2.54,-10.0,0.15,15.08,1,2,15.38,84.62,0
JNU,Juneau International Airport,Juneau,AK,58.35,-134.58,82,3.62,5.56,-3.0,0.18,14.57,2,7,18.29,81.71,1
KOA,Kona International Airport at Keahole,Kailua/Kona,HI,19.74,-156.05,187,1.88,0.29,-5.0,0.11,10.55,5,11,10.7,89.3,1
KTN,Ketchikan International Airport,Ketchikan,AK,55.36,-131.71,34,0.85,3.41,-3.0,0.21,12.21,1,4,20.59,79.41,0
LAN,Capital Region International Airport ( Lansing Capital City),Lansing,MI,42.78,-84.59,35,3.94,1.6,-4.0,0.2,17.43,2,3,20.0,80.0,0
LAR,Laramie Regional Airport,Laramie,WY,41.31,-105.67,10,44.1,40.7,3.0,0.3,13.5,1,1,30.0,70.0,0
LAS,McCarran International Airport,Las Vegas,NV,36.08,-115.15,2296,11.71,7.11,-1.0,0.2,14.69,12,75,20.34,79.66,10
LAW,Lawton-Fort Sill Regional Airport,Lawton,OK,34.57,-98.42,23,17.35,16.22,-6.0,0.22,9.04,2,1,21.74,78.26,2
LAX,Los Angeles International Airport,Los Angeles,CA,33.94,-118.41,3313,10.83,6.22,-1.0,0.21,16.95,13,77,20.8,79.2,36
LBB,Lubbock Preston Smith International Airport,Lubbock,TX,33.66,-101.82,87,9.03,6.25,-3.0,0.16,10.82,5,6,16.09,83.91,1
LBE,Arnold Palmer Regional Airport,Latrobe,PA,40.28,-79.4,24,16.12,12.75,-6.5,0.29,12.5,1,7,29.17,70.83,0
LCH,Lake Charles Regional Airport,Lake Charles,LA,30.13,-93.22,25,19.12,17.96,-5.0,0.17,11.8,2,2,16.67,83.33,1
LEX,Blue Grass Airport,Lexington,KY,38.04,-84.61,90,9.18,6.38,-4.0,0.22,14.97,4,7,22.22,77.78,7
LFT,Lafayette Regional Airport,Lafayette,LA,30.21,-91.99,90,6.19,5.09,-4.0,0.23,13.71,4,4,23.33,76.67,0
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,40.78,-73.87,1577,13.86,6.81,-1.0,0.26,27.03,11,57,26.08,73.92,74
LGB,Long Beach Airport (Daugherty Field),Long Beach,CA,33.82,-118.15,154,8.03,5.7,-4.0,0.16,12.81,2,10,15.58,84.42,3
LIH,Lihue Airport,Lihue,HI,21.98,-159.34,184,-2.05,-4.29,-4.0,0.05,8.46,6,10,4.89,95.11,0
LIT,Bill and Hillary Clinton National Airport (Adams Field),Little Rock,AR,34.73,-92.22,178,8.44,3.1,-2.0,0.16,12.47,5,12,15.73,84.27,0
LNK,Lincoln Airport (Lincoln Municipal),Lincoln,NE,40.85,-96.76,55,3.31,0.58,-6.0,0.16,13.22,2,4,16.36,83.64,0
LRD,Laredo International Airport,Laredo,TX,27.54,-99.46,38,0.55,0.57,-6.0,0.16,10.61,2,2,16.22,83.78,0
LSE,La Crosse Regional Airport,La Crosse,WI,43.88,-91.26,26,0.54,-5.08,-6.5,0.15,11.15,2,2,15.38,84.62,0
LWS,Lewiston-Nez Perce County Airport,Lewiston,ID,46.37,-117.02,15,-4.53,-5.53,-6.0,0.07,13.53,1,1,6.67,93.33,0
MAF,Midland International Airport,Midland,TX,31.94,-102.2,115,4.41,2.51,-4.0,0.19,11.83,4,6,19.13,80.87,3
MBS,MBS International Airport,Saginaw,MI,43.53,-84.08,27,2.89,-1.11,-8.0,0.15,13.26,2,2,14.81,85.19,3
MCI,Kansas City International Airport,Kansas City,MO,39.3,-94.71,656,8.07,3.78,-2.0,0.15,12.28,11,38,15.47,84.53,8
MCO,Orlando International Airport,Orlando,FL,28.43,-81.32,1839,11.94,6.77,-1.0,0.19,14.5,11,71,18.8,81.2,15
MDT,Harrisburg International Airport,Harrisburg,PA,40.19,-76.76,58,27.4,20.9,-3.0,0.22,14.19,7,5,22.41,77.59,0
MDW,Chicago Midway International Airport,Chicago,IL,41.79,-87.75,1352,14.86,8.58,1.0,0.22,13.1,5,65,22.35,77.65,35
MEI,Meridian Regional Airport,Meridian,MS,32.33,-88.75,22,-4.91,-6.32,-10.0,0.18,10.14,1,2,18.18,81.82,0
MEM,Memphis International Airport,Memphis,TN,35.04,-89.98,251,7.21,2.91,-3.0,0.14,15.05,9,21,14.0,86.0,4
MFE,McAllen-Miller International Airport (McAllen Miller International),McAllen,TX,26.18,-98.24,52,15.38,11.37,-3.0,0.17,12.56,4,2,17.31,82.69,1
MFR,Rogue Valley International Airport,Medford,OR,42.37,-122.87,43,7.67,4.47,-5.0,0.14,16.28,1,3,13.95,86.05,0
MGM,Montgomery Regional Airport,Montgomery,AL,32.3,-86.39,53,5.08,2.85,-2.0,0.15,14.51,2,2,15.38,84.62,0
MHK,Manhattan Regional Airport,Manhattan,KS,39.14,-96.67,33,7.79,4.88,-3.0,0.27,12.42,2,2,27.27,72.73,1
