AIRLINE,AIRLINE_NAME,MONTH,MONTH_NAME,total_flights,avg_air_system_delay,avg_security_delay,avg_airline_delay,avg_late_aircraft_delay,avg_weather_delay,total_air_system_delay,total_airline_delay,total_late_aircraft_delay,total_weather_delay,total_security_delay
NK,Spirit Air Lines,4,April,151,5.81,0.0,2.86,2.62,0.15,878.0,432.0,395.0,22.0,0.0
NK,Spirit Air Lines,5,May,152,6.7,0.17,5.32,7.03,2.35,1019.0,808.0,1068.0,357.0,26.0
NK,Spirit Air Lines,6,June,168,12.76,0.06,12.76,8.32,0.26,2144.0,2143.0,1398.0,44.0,10.0
NK,Spirit Air Lines,7,July,170,7.98,0.0,5.17,4.84,1.36,1357.0,879.0,823.0,231.0,0.0
NK,Spirit Air Lines,8,August,171,9.96,0.0,3.79,6.28,0.82,1704.0,648.0,1074.0,140.0,0.0
NK,Spirit Air Lines,9,September,164,6.29,0.0,2.85,4.6,0.0,1031.0,468.0,754.0,0.0,0.0
NK,Spirit Air Lines,10,October,167,6.91,0.0,0.77,4.23,0.0,1154.0,128.0,706.0,0.0,0.0
NK,Spirit Air Lines,11,November,187,4.43,0.0,2.7,3.41,0.03,828.0,505.0,637.0,6.0,0.0
NK,Spirit Air Lines,12,December,192,6.52,0.24,3.62,6.69,0.2,1251.0,696.0,1284.0,38.0,47.0
OO,Skywest Airlines Inc.,1,January,820,2.43,0.14,4.86,8.65,0.83,1995.0,3986.0,7091.0,679.0,113.0
OO,Skywest Airlines Inc.,2,February,762,2.89,0.03,2.91,8.33,1.37,2199.0,2220.0,6344.0,1047.0,26.0
OO,Skywest Airlines Inc.,3,March,820,1.57,0.0,2.2,4.39,1.12,1285.0,1805.0,3598.0,917.0,0.0
OO,Skywest Airlines Inc.,4,April,896,1.61,0.0,2.63,4.3,0.15,1440.0,2355.0,3853.0,137.0,0.0
OO,Skywest Airlines Inc.,5,May,863,1.28,0.1,2.95,3.31,0.14,1106.0,2550.0,2853.0,124.0,87.0
OO,Skywest Airlines Inc.,6,June,871,3.16,0.0,2.81,7.02,0.53,2755.0,2448.0,6115.0,464.0,0.0
OO,Skywest Airlines Inc.,7,July,873,2.23,0.08,3.23,5.32,0.34,1950.0,2820.0,4648.0,301.0,73.0
OO,Skywest Airlines Inc.,8,August,903,1.91,0.0,3.39,4.44,0.17,1728.0,3058.0,4009.0,151.0,0.0
OO,Skywest Airlines Inc.,9,September,823,1.83,0.0,3.04,3.64,0.22,1510.0,2498.0,2999.0,179.0,0.0
OO,Skywest Airlines Inc.,10,October,848,1.64,0.0,3.11,3.03,0.23,1393.0,2639.0,2570.0,197.0,0.0
